alert_id,timestamp,src_ip,dst_ip,proto,duration,src_bytes,dst_bytes,pkt_count,failed_logins,label,anomaly_score,stage1_decision,final_decision,rationale,recommended_action,source
ALRT-00030,2026-01-01T00:30:00,10.0.208.186,192.168.1.7,udp,0.0,877,2260,81,0,0,0.2458604907156527,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00031,2026-01-01T00:31:00,10.0.195.204,192.168.1.79,tcp,0.52,1245,1810,44,0,0,0.05752143466034176,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00032,2026-01-01T00:32:00,10.0.73.183,192.168.1.118,tcp,0.75,1204,4226,54,0,0,0.09801345223258685,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00033,2026-01-01T00:33:00,10.0.50.91,192.168.1.172,tcp,0.14,845,1678,40,0,0,0.09332635877979654,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00034,2026-01-01T00:34:00,10.0.238.72,192.168.1.144,tcp,4.92,1515,3419,43,0,0,0.09320202058050911,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00035,2026-01-01T00:35:00,10.0.215.107,192.168.1.35,tcp,1.84,1527,2556,31,0,0,0.034090616821644756,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00036,2026-01-01T00:36:00,10.0.53.25,192.168.1.124,udp,4.25,1165,4176,45,0,0,0.12538087450775726,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00037,2026-01-01T00:37:00,10.0.139.115,192.168.1.59,udp,1.14,1087,3713,24,0,0,0.06002236250177876,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00038,2026-01-01T00:38:00,10.0.130.11,192.168.1.69,tcp,13.21,1424,1499,48,0,0,0.4041514063808339,review,needs_review,Indicators are mixed.,Escalate to tier-2 for a closer look.,heuristic_fallback
ALRT-00039,2026-01-01T00:39:00,10.0.68.1,192.168.1.180,tcp,0.58,1286,2631,41,0,0,0.008339401697176506,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00040,2026-01-01T00:40:00,10.0.77.236,192.168.1.204,tcp,1.95,882,3035,44,0,0,0.02638662719325846,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00041,2026-01-01T00:41:00,10.0.38.175,192.168.1.40,tcp,0.74,1418,4138,23,0,0,0.09788134558886438,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00042,2026-01-01T00:42:00,10.0.1.143,192.168.1.153,tcp,0.59,1375,2762,55,0,0,0.03842211930404227,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00043,2026-01-01T00:43:00,10.0.234.87,192.168.1.107,udp,1.13,48249,351,615,12,1,0.7582066389853371,escalate,escalate,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00044,2026-01-01T00:44:00,10.0.50.145,192.168.1.86,tcp,1.7,1269,2641,46,0,0,0.013728374692412532,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00045,2026-01-01T00:45:00,10.0.71.226,192.168.1.181,tcp,2.58,1080,3618,38,0,0,0.033956040513879245,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00046,2026-01-01T00:46:00,10.0.216.166,192.168.1.63,tcp,0.54,1537,3675,41,0,0,0.03685396942165191,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00047,2026-01-01T00:47:00,10.0.162.153,192.168.1.194,tcp,9.3,1151,2620,40,0,0,0.23741074903393913,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00048,2026-01-01T00:48:00,10.0.187.117,192.168.1.102,tcp,4.29,1003,2333,54,0,0,0.10016313984878226,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00049,2026-01-01T00:49:00,10.0.247.88,192.168.1.25,udp,1.43,1890,3123,29,0,0,0.07365221482219823,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00050,2026-01-01T00:50:00,10.0.2.177,192.168.1.201,tcp,0.56,890,3058,51,0,0,0.037132777153056296,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00051,2026-01-01T00:51:00,10.0.168.249,192.168.1.216,tcp,1.33,1028,2909,43,0,0,0.017228128595914747,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00052,2026-01-01T00:52:00,10.0.100.108,192.168.1.143,udp,1.25,1333,3682,50,0,0,0.03336782327135535,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00053,2026-01-01T00:53:00,10.0.143.100,192.168.1.184,udp,2.03,1433,2119,61,0,0,0.09936980108625962,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00054,2026-01-01T00:54:00,10.0.200.109,192.168.1.38,udp,1.17,1073,3058,58,0,0,0.060533146851603735,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00055,2026-01-01T00:55:00,10.0.199.108,192.168.1.86,tcp,1.01,723,981,36,0,0,0.19007850392418127,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00056,2026-01-01T00:56:00,10.0.57.251,192.168.1.89,tcp,1.97,1286,1816,48,0,0,0.06483729978136325,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00057,2026-01-01T00:57:00,10.0.134.179,192.168.1.194,tcp,3.22,735,4417,8,0,0,0.23987750089350576,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00058,2026-01-01T00:58:00,10.0.150.91,192.168.1.90,tcp,0.72,1225,3230,58,0,0,0.06252995786477283,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00059,2026-01-01T00:59:00,10.0.247.94,192.168.1.185,tcp,6.99,1227,1576,59,0,0,0.2621807731310291,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00060,2026-01-01T01:00:00,10.0.253.109,192.168.1.78,udp,1.89,827,5728,40,0,0,0.2618584293754706,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00061,2026-01-01T01:01:00,10.0.5.10,192.168.1.153,tcp,1.75,2000,3727,30,0,0,0.11226923364398601,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00062,2026-01-01T01:02:00,10.0.248.134,192.168.1.54,udp,0.12,1310,2549,34,0,0,0.02783249739873011,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00063,2026-01-01T01:03:00,10.0.98.206,192.168.1.142,tcp,0.91,1088,2593,57,0,0,0.04985671201523714,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00064,2026-01-01T01:04:00,10.0.157.168,192.168.1.21,udp,2.31,1692,2966,24,0,0,0.0688197245500791,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00065,2026-01-01T01:05:00,10.0.174.51,192.168.1.186,tcp,2.29,1764,2698,27,0,0,0.06536634158432816,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00066,2026-01-01T01:06:00,10.0.22.185,192.168.1.8,tcp,0.65,1535,3402,36,0,0,0.024535021586002424,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00067,2026-01-01T01:07:00,10.0.5.183,192.168.1.253,udp,0.74,553,3601,35,0,0,0.06571777975457968,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00068,2026-01-01T01:08:00,10.0.33.67,192.168.1.213,tcp,1.44,1394,4750,26,0,0,0.16125945186544968,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00069,2026-01-01T01:09:00,10.0.180.158,192.168.1.147,udp,3.05,1598,1605,40,0,0,0.11514104196568643,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00070,2026-01-01T01:10:00,10.0.199.155,192.168.1.231,tcp,2.07,1373,2734,21,0,0,0.0357358199915791,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00071,2026-01-01T01:11:00,10.0.12.213,192.168.1.205,tcp,1.67,1649,2028,38,0,0,0.05311547451812326,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00072,2026-01-01T01:12:00,10.0.55.35,192.168.1.37,udp,0.32,1154,3473,35,0,0,0.031653942144097745,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00073,2026-01-01T01:13:00,10.0.224.50,192.168.1.189,tcp,0.26,1068,2078,29,0,0,0.060057095366695804,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00074,2026-01-01T01:14:00,10.0.136.123,192.168.1.96,udp,2.14,1012,3959,19,0,0,0.09537553210517892,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00075,2026-01-01T01:15:00,10.0.196.12,192.168.1.217,tcp,3.2,503,2526,52,0,0,0.09728215281595312,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00076,2026-01-01T01:16:00,10.0.27.106,192.168.1.219,tcp,2.55,2008,3971,40,1,0,0.4055930746950865,review,needs_review,Indicators are mixed.,Escalate to tier-2 for a closer look.,heuristic_fallback
ALRT-00077,2026-01-01T01:17:00,10.0.120.200,192.168.1.242,tcp,1.45,659,2998,57,0,0,0.06960229264758419,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00078,2026-01-01T01:18:00,10.0.154.38,192.168.1.115,tcp,1.03,1159,1848,48,0,0,0.06072821937852842,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00079,2026-01-01T01:19:00,10.0.249.117,192.168.1.49,tcp,2.64,1236,3376,30,0,0,0.026958798349825973,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00080,2026-01-01T01:20:00,10.0.245.251,192.168.1.32,tcp,0.16,1170,2171,31,0,0,0.04663844864440329,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00081,2026-01-01T01:21:00,10.0.13.128,192.168.1.42,tcp,0.74,943,4699,48,0,0,0.12361807739610692,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00082,2026-01-01T01:22:00,10.0.107.127,192.168.1.251,tcp,1.13,859,3300,37,0,0,0.022309133191050143,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00083,2026-01-01T01:23:00,10.0.79.142,192.168.1.149,tcp,6.25,1091,2998,25,0,0,0.1561869088261774,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00084,2026-01-01T01:24:00,10.0.125.48,192.168.1.90,tcp,1.23,1911,3608,46,0,0,0.09663246280590738,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00085,2026-01-01T01:25:00,10.0.73.38,192.168.1.114,tcp,0.81,1495,2057,34,0,0,0.05085507250059372,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00086,2026-01-01T01:26:00,10.0.215.172,192.168.1.44,tcp,2.69,12740,8,222,0,1,0.549060381422478,escalate,escalate,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00087,2026-01-01T01:27:00,10.0.98.101,192.168.1.145,tcp,1.63,667,2256,47,0,0,0.0574912837431789,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00088,2026-01-01T01:28:00,10.0.20.74,192.168.1.108,tcp,1.05,1316,1402,41,0,0,0.10463307904967545,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00089,2026-01-01T01:29:00,10.0.235.8,192.168.1.202,tcp,2.55,1234,3878,28,0,0,0.05937088660371426,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00090,2026-01-01T01:30:00,10.0.37.215,192.168.1.6,tcp,3.67,1954,2943,44,0,0,0.11026912021920908,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00091,2026-01-01T01:31:00,10.0.132.9,192.168.1.236,udp,1.13,1129,3397,42,0,0,0.009540629283930478,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00092,2026-01-01T01:32:00,10.0.124.190,192.168.1.16,tcp,3.56,947,2745,33,0,0,0.05573880008399743,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00093,2026-01-01T01:33:00,10.0.87.97,192.168.1.106,udp,0.4,1279,3153,60,0,0,0.0869337001208166,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00094,2026-01-01T01:34:00,10.0.160.152,192.168.1.87,tcp,2.59,1598,2412,41,0,0,0.045769629331206756,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00095,2026-01-01T01:35:00,10.0.230.63,192.168.1.182,tcp,0.36,578,3691,48,0,0,0.08847665074108564,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00096,2026-01-01T01:36:00,10.0.70.40,192.168.1.167,udp,1.18,1379,2964,24,0,0,0.03981581183172711,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00097,2026-01-01T01:37:00,10.0.169.135,192.168.1.50,tcp,1.02,1099,3950,54,0,0,0.0744667012481336,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00098,2026-01-01T01:38:00,10.0.88.176,192.168.1.125,tcp,6.11,1085,1920,35,0,0,0.16098214896376203,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00099,2026-01-01T01:39:00,10.0.96.50,192.168.1.136,tcp,0.78,1715,3474,39,0,0,0.044270918174358215,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00100,2026-01-01T01:40:00,10.0.137.111,192.168.1.118,tcp,3.07,1529,3102,37,0,0,0.037804451406460396,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00101,2026-01-01T01:41:00,10.0.103.113,192.168.1.6,tcp,2.67,567,1828,41,0,0,0.09210952455769773,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00102,2026-01-01T01:42:00,10.0.233.55,192.168.1.46,udp,0.3,1592,1332,36,0,0,0.15184188129608564,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00103,2026-01-01T01:43:00,10.0.70.143,192.168.1.128,udp,0.01,1492,2529,38,0,0,0.04883464099781069,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00104,2026-01-01T01:44:00,10.0.11.37,192.168.1.66,tcp,2.76,1659,2550,39,0,0,0.043148599806596785,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00105,2026-01-01T01:45:00,10.0.144.129,192.168.1.138,tcp,0.24,1452,2786,28,0,0,0.04208440751430059,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00106,2026-01-01T01:46:00,10.0.166.29,192.168.1.42,tcp,0.57,1527,2555,46,1,0,0.3209272894133254,review,needs_review,Indicators are mixed.,Escalate to tier-2 for a closer look.,heuristic_fallback
ALRT-00107,2026-01-01T01:47:00,10.0.217.123,192.168.1.187,icmp,12.07,104227,0,1066,0,1,0.8453316264477342,escalate,escalate,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00108,2026-01-01T01:48:00,10.0.39.79,192.168.1.48,tcp,2.6,1351,3106,34,0,0,0.024019907128547454,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00109,2026-01-01T01:49:00,10.0.58.115,192.168.1.165,tcp,0.08,1031,3272,53,1,0,0.37091260037840224,review,needs_review,Indicators are mixed.,Escalate to tier-2 for a closer look.,heuristic_fallback
ALRT-00110,2026-01-01T01:50:00,10.0.119.110,192.168.1.212,tcp,0.99,1025,2474,41,0,0,0.008561773874356578,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00111,2026-01-01T01:51:00,10.0.117.230,192.168.1.91,tcp,2.21,1615,1439,72,0,0,0.2508971710899569,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00112,2026-01-01T01:52:00,10.0.244.124,192.168.1.36,tcp,13.24,71662,380,661,5,1,0.7338514144676843,escalate,escalate,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00113,2026-01-01T01:53:00,10.0.245.208,192.168.1.2,udp,1.54,1482,3362,63,0,0,0.11358416388811322,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00114,2026-01-01T01:54:00,10.0.209.58,192.168.1.92,tcp,4.58,975,3782,56,0,0,0.1284939134341762,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00115,2026-01-01T01:55:00,10.0.111.90,192.168.1.30,tcp,0.28,1787,1101,63,0,0,0.267228428329608,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00116,2026-01-01T01:56:00,10.0.24.19,192.168.1.224,tcp,5.92,833,3245,49,0,0,0.14858029346791352,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00117,2026-01-01T01:57:00,10.0.158.107,192.168.1.247,tcp,26.75,52227,73,1115,12,1,0.8690966699718181,escalate,escalate,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00118,2026-01-01T01:58:00,10.0.210.170,192.168.1.249,tcp,0.37,1928,2749,18,0,0,0.11959502376465893,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00119,2026-01-01T01:59:00,10.0.21.213,192.168.1.234,udp,3.46,1419,4774,49,0,0,0.18473292962347593,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00120,2026-01-01T02:00:00,10.0.126.144,192.168.1.149,tcp,0.54,1177,4390,21,0,0,0.1358439920813458,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00121,2026-01-01T02:01:00,10.0.246.162,192.168.1.83,udp,0.78,1367,3973,59,0,0,0.09877500481968701,review,false_positive,"Low anomaly score, traffic resembles baseline.",Suppress and log.,heuristic_fallback
ALRT-00122,2026-01-01T02:02:00,10.0.5.45,192.168.1.113,udp,0.35,1530,3523,28,1,0,0.37182527382974967,review,needs_review,Indicators are mixed.,Escalate to tier-2 for a closer look.,heuristic_fallback
ALRT-00123,2026-01-01T02:03:00,10.0.108.10,192.168.1.66,tcp,1.07,1440,3040,44,0,0,0.016693704615801438,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
ALRT-00124,2026-01-01T02:04:00,10.0.42.201,192.168.1.213,tcp,1.75,1048,3206,47,0,0,0.022399239095202177,auto_suppress,auto_suppress,Stage 1 rule/score decision.,Auto-handled by Stage 1.,stage1
