alert_id,duration,src_bytes,dst_bytes,pkt_count,src_ttl,dst_ttl,src_load,dst_load,state_ttl_count,label,src_ip,dst_ip
UNSW-000022,2.39039,1362,268,20,254,252,4233.619141,749.668518,1,1,175.45.176.0,149.171.126.16
UNSW-000023,0.001101,132,164,4,31,29,479564.0313,595822.0,0,0,59.166.0.3,149.171.126.9
UNSW-000024,0.001082,132,164,4,31,29,487985.2188,606284.6875,0,0,59.166.0.2,149.171.126.8
UNSW-000025,0.001122,132,164,4,31,29,470588.2188,584670.1875,0,0,59.166.0.8,149.171.126.2
UNSW-000026,0.001141,146,178,4,31,29,511831.75,624014.0625,0,0,59.166.0.9,149.171.126.6
UNSW-000027,0.001164,146,178,4,31,29,501718.2188,611683.8125,0,0,59.166.0.0,149.171.126.1
UNSW-000028,0.001127,132,164,4,31,29,468500.4688,582076.3125,0,0,59.166.0.5,149.171.126.9
UNSW-000029,0.001073,132,164,4,31,29,492078.2813,611370.0,0,0,59.166.0.7,149.171.126.4
UNSW-000030,0.001196,146,178,4,31,29,488294.3125,595317.6875,0,0,59.166.0.8,149.171.126.9
UNSW-000031,0.001101,132,164,4,31,29,479564.0313,595822.0,0,0,59.166.0.1,149.171.126.1
UNSW-000032,0.001058,146,178,4,31,29,551984.875,672967.875,0,0,59.166.0.7,149.171.126.6
UNSW-000033,0.0011,132,164,4,31,29,480000.0,596363.625,0,0,59.166.0.7,149.171.126.8
UNSW-000034,0.001126,146,178,4,31,29,518650.0938,632326.8125,0,0,59.166.0.8,149.171.126.0
UNSW-000035,0.001017,146,178,4,31,29,574238.0,700098.375,0,0,59.166.0.4,149.171.126.8
UNSW-000036,0.001094,132,164,4,31,29,482632.5625,599634.375,0,0,59.166.0.4,149.171.126.7
UNSW-000037,0.001092,132,164,4,31,29,483516.4688,600732.5625,0,0,59.166.0.0,149.171.126.8
UNSW-000038,0.001082,132,164,4,31,29,487985.2188,606284.6875,0,0,59.166.0.3,149.171.126.1
UNSW-000039,0.17519,8168,268,20,254,252,346366.8125,10228.89453,1,1,175.45.176.2,149.171.126.16
UNSW-000040,0.1906,844,268,16,254,252,31899.26758,9401.888672,1,1,175.45.176.2,149.171.126.10
UNSW-000041,0.001089,132,164,4,31,29,484848.4688,602387.5,0,0,59.166.0.2,149.171.126.4
UNSW-000042,0.001126,132,164,4,31,29,468916.5313,582593.25,0,0,59.166.0.8,149.171.126.1
UNSW-000043,0.001859,528,304,8,31,29,1704142.0,981172.6875,0,0,59.166.0.2,149.171.126.1
UNSW-000044,0.001152,132,164,4,31,29,458333.3125,569444.4375,0,0,59.166.0.1,149.171.126.9
UNSW-000045,0.004996,568,312,8,31,29,682145.75,374699.7813,0,0,59.166.0.2,149.171.126.1
UNSW-000046,0.001044,146,178,4,31,29,559386.9375,681992.3125,0,0,59.166.0.2,149.171.126.5
UNSW-000047,0.001089,132,164,4,31,29,484848.4688,602387.5,0,0,59.166.0.3,149.171.126.3
UNSW-000048,0.001122,146,178,4,31,29,520499.0938,634581.0625,0,0,59.166.0.4,149.171.126.6
UNSW-000049,0.001201,130,162,4,31,29,432972.5313,539550.375,0,0,59.166.0.6,149.171.126.2
UNSW-000050,0.001079,132,164,4,31,29,489342.0,607970.375,0,0,59.166.0.6,149.171.126.4
UNSW-000051,0.001864,528,304,8,31,29,1699570.875,978540.75,0,0,59.166.0.1,149.171.126.3
UNSW-000052,0.0051,568,312,8,31,29,668235.25,367058.8125,0,0,59.166.0.1,149.171.126.3
UNSW-000053,0.001123,132,164,4,31,29,470169.1563,584149.5625,0,0,59.166.0.2,149.171.126.8
UNSW-000054,0.001112,132,164,4,31,29,474820.1563,589928.0625,0,0,59.166.0.5,149.171.126.7
UNSW-000055,0.001066,132,164,4,31,29,495309.5938,615384.625,0,0,59.166.0.1,149.171.126.5
UNSW-000056,0.001108,130,162,4,31,29,469314.0625,584837.5,0,0,59.166.0.6,149.171.126.5
UNSW-000057,0.177449,1214,268,16,254,252,49276.12891,10098.67578,1,1,175.45.176.0,149.171.126.15
UNSW-000058,0.19491,844,268,16,254,252,31193.88281,9193.986328,1,1,175.45.176.0,149.171.126.14
UNSW-000059,0.011205,528,304,8,31,29,282730.9375,162784.4688,0,0,59.166.0.1,149.171.126.8
UNSW-000060,0.001091,130,162,4,31,29,476626.9375,593950.5,0,0,59.166.0.8,149.171.126.2
UNSW-000061,0.001091,130,162,4,31,29,476626.9375,593950.5,0,0,59.166.0.9,149.171.126.5
UNSW-000062,0.001135,132,164,4,31,29,465198.2188,577973.5625,0,0,59.166.0.2,149.171.126.7
UNSW-000063,0.001105,132,164,4,31,29,477828.0313,593665.125,0,0,59.166.0.3,149.171.126.1
UNSW-000064,0.001087,146,178,4,31,29,537258.5,655013.8125,0,0,59.166.0.8,149.171.126.1
UNSW-000065,0.040337,568,312,8,31,29,84488.1875,46409.00391,0,0,59.166.0.1,149.171.126.8
UNSW-000066,0.0314,520,304,8,31,29,99363.0625,58089.17578,0,0,59.166.0.5,149.171.126.2
UNSW-000067,0.060192,568,304,8,31,29,56618.82031,30303.0293,0,0,59.166.0.5,149.171.126.2
UNSW-000068,0.001044,130,162,4,31,29,498084.2813,620689.625,0,0,59.166.0.5,149.171.126.5
UNSW-000069,0.004565,568,304,8,31,29,746549.8125,399561.875,0,0,59.166.0.2,149.171.126.7
UNSW-000070,0.001118,132,164,4,31,29,472271.9063,586762.0625,0,0,59.166.0.6,149.171.126.7
UNSW-000071,0.00112,132,164,4,31,29,471428.5625,585714.25,0,0,59.166.0.6,149.171.126.0
UNSW-000072,0.001118,132,164,4,31,29,472271.9063,586762.0625,0,0,59.166.0.6,149.171.126.7
UNSW-000073,0.001775,520,304,8,31,29,1757746.5,1027605.625,0,0,59.166.0.2,149.171.126.7
UNSW-000074,0.001087,146,178,4,31,29,537258.5,655013.8125,0,0,59.166.0.1,149.171.126.0
UNSW-000075,0.001111,132,164,4,31,29,475247.5313,590459.0625,0,0,59.166.0.7,149.171.126.7
UNSW-000076,0.001118,132,164,4,31,29,472271.9063,586762.0625,0,0,59.166.0.2,149.171.126.0
UNSW-000077,0.291485,804,948,18,62,252,19870.66211,22779.90234,1,1,175.45.176.0,149.171.126.18
UNSW-000078,2.59291,2082,268,20,254,252,5967.041016,691.115356,1,1,175.45.176.0,149.171.126.15
UNSW-000079,0.232939,828,4004,20,62,252,25620.44141,123774.8906,1,1,175.45.176.3,149.171.126.12
UNSW-000080,0.432056,838,986,20,62,252,13979.66895,16442.3125,1,1,175.45.176.0,149.171.126.18
UNSW-000081,0.00106,130,162,4,31,29,490566.0313,611320.75,0,0,59.166.0.5,149.171.126.0
UNSW-000082,0.001073,132,164,4,31,29,492078.2813,611370.0,0,0,59.166.0.7,149.171.126.0
UNSW-000083,0.001176,132,164,4,31,29,448979.5938,557823.125,0,0,59.166.0.3,149.171.126.4
UNSW-000084,0.001214,146,178,4,31,29,481054.3438,586490.9375,0,0,59.166.0.9,149.171.126.7
UNSW-000085,0.001126,132,164,4,31,29,468916.5313,582593.25,0,0,59.166.0.1,149.171.126.3
UNSW-000086,0.00108,146,178,4,31,29,540740.75,659259.3125,0,0,59.166.0.6,149.171.126.6
UNSW-000087,0.001061,132,164,4,31,29,497643.7188,618284.625,0,0,59.166.0.8,149.171.126.3
UNSW-000088,0.00178,520,304,8,31,29,1752809.0,1024719.063,0,0,59.166.0.8,149.171.126.7
UNSW-000089,0.001125,146,178,4,31,29,519111.125,632888.9375,0,0,59.166.0.4,149.171.126.0
UNSW-000090,0.001064,132,164,4,31,29,496240.625,616541.375,0,0,59.166.0.6,149.171.126.1
UNSW-000091,0.001083,146,178,4,31,29,539242.875,657433.0625,0,0,59.166.0.9,149.171.126.6
UNSW-000092,0.001128,132,164,4,31,29,468085.125,581560.3125,0,0,59.166.0.3,149.171.126.0
UNSW-000093,0.001166,132,164,4,31,29,452830.1875,562607.1875,0,0,59.166.0.8,149.171.126.8
UNSW-000094,0.00468,568,304,8,31,29,728205.1875,389743.5938,0,0,59.166.0.8,149.171.126.7
UNSW-000095,0.244832,876,9446,24,62,252,25780.94336,286629.2188,1,1,175.45.176.2,149.171.126.13
UNSW-000096,0.001069,130,162,4,31,29,486435.9375,606174.0,0,0,59.166.0.6,149.171.126.1
UNSW-000097,0.001793,520,304,8,31,29,1740100.375,1017289.438,0,0,59.166.0.2,149.171.126.1
UNSW-000098,0.001112,146,178,4,31,29,525179.875,640287.8125,0,0,59.166.0.6,149.171.126.5
UNSW-000099,0.001141,146,178,4,31,29,511831.75,624014.0625,0,0,59.166.0.9,149.171.126.3
UNSW-000100,0.004906,568,304,8,31,29,694659.5625,371789.625,0,0,59.166.0.2,149.171.126.1
UNSW-000101,0.001256,132,164,4,31,29,420382.1563,522293.0,0,0,59.166.0.4,149.171.126.0
UNSW-000102,0.001185,130,162,4,31,29,438818.5938,546835.5,0,0,59.166.0.2,149.171.126.4
UNSW-000103,0.001055,146,178,4,31,29,553554.5,674881.5,0,0,59.166.0.7,149.171.126.4
UNSW-000104,0.004837,568,312,8,31,29,704569.0,387016.75,0,0,59.166.0.7,149.171.126.9
UNSW-000105,0.001095,130,162,4,31,29,474885.875,591780.875,0,0,59.166.0.4,149.171.126.8
UNSW-000106,0.001735,528,304,8,31,29,1825936.5,1051296.75,0,0,59.166.0.7,149.171.126.9
UNSW-000107,0.001067,132,164,4,31,29,494845.375,614807.875,0,0,59.166.0.7,149.171.126.4
UNSW-000108,0.001185,130,162,4,31,29,438818.5938,546835.5,0,0,59.166.0.7,149.171.126.0
UNSW-000109,0.249003,744,1306,18,62,252,21525.8457,36722.44922,1,1,175.45.176.1,149.171.126.13
UNSW-000110,1.7e-05,168,0,2,254,0,39529412.0,0.0,2,1,175.45.176.3,149.171.126.11
UNSW-000111,0.513537,776,1284,20,62,252,10889.18652,18008.43945,1,1,175.45.176.1,149.171.126.13
UNSW-000112,0.001023,130,162,4,31,29,508308.9063,633431.0625,0,0,59.166.0.3,149.171.126.0
UNSW-000113,0.0011,132,164,4,31,29,480000.0,596363.625,0,0,59.166.0.4,149.171.126.7
UNSW-000114,0.001109,130,162,4,31,29,468890.9063,584310.1875,0,0,59.166.0.4,149.171.126.1
UNSW-000115,0.001135,132,164,4,31,29,465198.2188,577973.5625,0,0,59.166.0.5,149.171.126.5
UNSW-000116,0.001094,130,162,4,31,29,475319.9375,592321.8125,0,0,59.166.0.2,149.171.126.0
UNSW-000117,0.001107,146,178,4,31,29,527551.9375,643179.75,0,0,59.166.0.5,149.171.126.6
UNSW-000118,0.001207,132,164,4,31,29,437448.2188,543496.25,0,0,59.166.0.0,149.171.126.3
UNSW-000119,50.004337,384,0,6,1,0,51.19556,0.0,0,0,10.40.182.1,224.0.0.5
UNSW-000120,50.004341,384,0,6,1,0,51.195557,0.0,0,0,10.40.85.1,224.0.0.5
UNSW-000121,50.004337,384,0,6,1,0,51.19556,0.0,0,0,10.40.182.1,224.0.0.5
UNSW-000122,50.004341,384,0,6,1,0,51.195557,0.0,0,0,10.40.85.1,224.0.0.5
UNSW-000123,0.001175,146,178,4,31,29,497021.2813,605957.4375,0,0,59.166.0.0,149.171.126.3
UNSW-000124,0.001034,132,164,4,31,29,510638.3125,634429.4375,0,0,59.166.0.3,149.171.126.3
UNSW-000125,0.001083,146,178,4,31,29,539242.875,657433.0625,0,0,59.166.0.6,149.171.126.2
UNSW-000126,0.00112,146,178,4,31,29,521428.5625,635714.25,0,0,59.166.0.4,149.171.126.0
UNSW-000127,0.001148,146,178,4,31,29,508710.7813,620209.0625,0,0,59.166.0.2,149.171.126.1
UNSW-000128,0.001035,132,164,4,31,29,510144.9375,633816.4375,0,0,59.166.0.3,149.171.126.1
UNSW-000129,0.001117,146,178,4,31,29,522829.0,637421.6875,0,0,59.166.0.6,149.171.126.5
UNSW-000130,0.214735,980,268,16,254,252,32859.10547,8345.169922,1,1,175.45.176.0,149.171.126.10
UNSW-000131,0.911799,1506,141751,140,62,252,12713.32813,1232798.0,1,1,175.45.176.0,149.171.126.17
UNSW-000132,0.001084,146,178,4,31,29,538745.375,656826.5625,0,0,59.166.0.4,149.171.126.9
UNSW-000133,0.001106,132,164,4,31,29,477396.0,593128.375,0,0,59.166.0.6,149.171.126.2
UNSW-000134,0.001104,130,162,4,31,29,471014.4688,586956.5,0,0,59.166.0.1,149.171.126.9
UNSW-000135,0.00174,528,304,8,31,29,1820689.625,1048275.875,0,0,59.166.0.8,149.171.126.4
UNSW-000136,0.004877,568,312,8,31,29,698790.25,383842.5313,0,0,59.166.0.8,149.171.126.4
UNSW-000137,0.001149,132,164,4,31,29,459530.0313,570931.25,0,0,59.166.0.5,149.171.126.7
UNSW-000138,0.00109,132,164,4,31,29,484403.6563,601834.8125,0,0,59.166.0.3,149.171.126.0
UNSW-000139,0.001124,146,178,4,31,29,519572.9688,633452.0,0,0,59.166.0.7,149.171.126.5
UNSW-000140,0.001127,132,164,4,31,29,468500.4688,582076.3125,0,0,59.166.0.0,149.171.126.9
UNSW-000141,0.001155,132,164,4,31,29,457142.875,567965.375,0,0,59.166.0.0,149.171.126.7
UNSW-000142,0.001097,132,164,4,31,29,481312.6875,597994.5625,0,0,59.166.0.6,149.171.126.4
UNSW-000143,0.001164,132,164,4,31,29,453608.25,563573.875,0,0,59.166.0.4,149.171.126.1
UNSW-000144,0.695382,564,354,18,254,252,5844.27002,3566.38501,1,1,175.45.176.0,149.171.126.16
UNSW-000145,0.290395,1314,1172,20,254,252,33196.16406,28264.95117,1,1,175.45.176.2,149.171.126.11
UNSW-000146,0.195749,946,268,16,254,252,34820.10156,9154.581055,1,1,175.45.176.3,149.171.126.12
UNSW-000147,0.001107,146,178,4,31,29,527551.9375,643179.75,0,0,59.166.0.0,149.171.126.0
UNSW-000148,0.004571,568,304,8,31,29,745569.875,399037.4063,0,0,59.166.0.1,149.171.126.4
UNSW-000149,0.001152,130,162,4,31,29,451388.875,562500.0,0,0,59.166.0.0,149.171.126.3
UNSW-000150,0.001106,146,178,4,31,29,528028.9375,643761.25,0,0,59.166.0.7,149.171.126.5
UNSW-000151,0.004458,568,304,8,31,29,764468.375,409152.0938,0,0,59.166.0.8,149.171.126.0
UNSW-000152,0.001764,520,304,8,31,29,1768707.5,1034013.563,0,0,59.166.0.1,149.171.126.4
UNSW-000153,0.001695,520,304,8,31,29,1840708.0,1076106.25,0,0,59.166.0.8,149.171.126.0
UNSW-000154,0.00114,132,164,4,31,29,463157.9063,575438.625,0,0,59.166.0.1,149.171.126.3
UNSW-000155,0.001304,132,164,4,31,29,404907.9688,503067.4688,0,0,59.166.0.5,149.171.126.5
UNSW-000156,0.001127,132,164,4,31,29,468500.4688,582076.3125,0,0,59.166.0.8,149.171.126.4
UNSW-000157,0.001138,146,178,4,31,29,513181.0,625659.0,0,0,59.166.0.4,149.171.126.8
UNSW-000158,0.001063,132,164,4,31,29,496707.4688,617121.375,0,0,59.166.0.5,149.171.126.8
UNSW-000159,0.001062,132,164,4,31,29,497175.125,617702.4375,0,0,59.166.0.5,149.171.126.0
UNSW-000160,0.004717,568,312,8,31,29,722493.125,396862.4375,0,0,59.166.0.9,149.171.126.3
UNSW-000161,0.001121,132,164,4,31,29,471008.0,585191.75,0,0,59.166.0.1,149.171.126.1
UNSW-000162,0.001098,132,164,4,31,29,480874.3125,597449.9375,0,0,59.166.0.9,149.171.126.0
UNSW-000163,0.001687,528,304,8,31,29,1877889.75,1081209.25,0,0,59.166.0.9,149.171.126.3
UNSW-000164,0.001186,130,162,4,31,29,438448.5938,546374.375,0,0,59.166.0.2,149.171.126.2
UNSW-000165,0.185286,1144,268,16,254,252,44471.78906,9671.535156,1,1,175.45.176.2,149.171.126.18
UNSW-000166,0.00109,132,164,4,31,29,484403.6563,601834.8125,0,0,59.166.0.7,149.171.126.3
UNSW-000167,0.001838,528,304,8,31,29,1723612.625,992383.0,0,0,59.166.0.3,149.171.126.9
UNSW-000168,0.001077,146,178,4,31,29,542246.9375,661095.625,0,0,59.166.0.5,149.171.126.9
UNSW-000169,0.001059,132,164,4,31,29,498583.5625,619452.3125,0,0,59.166.0.0,149.171.126.7
UNSW-000170,0.001108,132,164,4,31,29,476534.2813,592057.75,0,0,59.166.0.1,149.171.126.0
UNSW-000171,0.001094,146,178,4,31,29,533820.875,650822.6875,0,0,59.166.0.4,149.171.126.2
UNSW-000172,0.001087,132,164,4,31,29,485740.5625,603495.875,0,0,59.166.0.6,149.171.126.0
UNSW-000173,0.004906,568,312,8,31,29,694659.5625,381573.5625,0,0,59.166.0.3,149.171.126.9
UNSW-000174,0.001098,132,164,4,31,29,480874.3125,597449.9375,0,0,59.166.0.4,149.171.126.6
UNSW-000175,0.001054,132,164,4,31,29,500948.7813,622390.875,0,0,59.166.0.5,149.171.126.0
UNSW-000176,0.001044,132,164,4,31,29,505747.125,628352.5,0,0,59.166.0.0,149.171.126.1
UNSW-000177,0.001099,132,164,4,31,29,480436.7813,596906.3125,0,0,59.166.0.9,149.171.126.6
UNSW-000178,0.001095,130,162,4,31,29,474885.875,591780.875,0,0,59.166.0.2,149.171.126.4
UNSW-000179,0.001085,130,162,4,31,29,479262.6875,597235.0,0,0,59.166.0.4,149.171.126.2
UNSW-000180,1.040816,1608,132728,148,62,252,11975.21973,1011391.125,1,1,175.45.176.0,149.171.126.14
UNSW-000181,0.004814,568,312,8,31,29,707935.1875,388865.8125,0,0,59.166.0.2,149.171.126.1
UNSW-000182,0.001078,132,164,4,31,29,489795.9375,608534.375,0,0,59.166.0.0,149.171.126.2
UNSW-000183,0.001756,528,304,8,31,29,1804100.25,1038724.375,0,0,59.166.0.2,149.171.126.1
UNSW-000184,0.001024,146,178,4,31,29,570312.5,695312.5,0,0,59.166.0.2,149.171.126.7
UNSW-000185,0.001107,132,164,4,31,29,476964.75,592592.5625,0,0,59.166.0.7,149.171.126.2
UNSW-000186,0.001083,130,162,4,31,29,480147.75,598337.9375,0,0,59.166.0.3,149.171.126.3
UNSW-000187,0.001083,130,162,4,31,29,480147.75,598337.9375,0,0,59.166.0.3,149.171.126.3
UNSW-000188,0.001096,146,178,4,31,29,532846.75,649635.0625,0,0,59.166.0.2,149.171.126.5
UNSW-000189,0.001095,132,164,4,31,29,482191.8125,599086.8125,0,0,59.166.0.5,149.171.126.9
UNSW-000190,0.625212,564,354,18,254,252,6500.194824,3966.654541,1,1,175.45.176.1,149.171.126.16
UNSW-000191,0.001125,146,178,4,31,29,519111.125,632888.9375,0,0,59.166.0.7,149.171.126.3
UNSW-000192,0.00112,132,164,4,31,29,471428.5625,585714.25,0,0,59.166.0.3,149.171.126.5
UNSW-000193,0.000997,146,178,4,31,29,585757.25,714142.4375,0,0,59.166.0.7,149.171.126.9
UNSW-000194,0.001068,146,178,4,31,29,546816.5,666666.6875,0,0,59.166.0.4,149.171.126.0
UNSW-000195,0.001034,132,164,4,31,29,510638.3125,634429.4375,0,0,59.166.0.3,149.171.126.6
UNSW-000196,0.001099,130,162,4,31,29,473157.4063,589626.9375,0,0,59.166.0.7,149.171.126.2
UNSW-000197,0.629429,564,354,18,254,252,6456.645996,3940.079102,1,1,175.45.176.3,149.171.126.19
UNSW-000198,0.268272,878,1002,18,62,252,23588.0,26152.56055,1,1,175.45.176.1,149.171.126.16
UNSW-000199,0.001116,132,164,4,31,29,473118.2813,587813.625,0,0,59.166.0.2,149.171.126.7
UNSW-000200,0.001138,132,164,4,31,29,463971.875,576449.875,0,0,59.166.0.6,149.171.126.3
UNSW-000201,0.001122,132,164,4,31,29,470588.2188,584670.1875,0,0,59.166.0.8,149.171.126.9
UNSW-000202,0.001079,132,164,4,31,29,489342.0,607970.375,0,0,59.166.0.2,149.171.126.9
UNSW-000203,0.257718,798,5348,20,62,252,22318.96875,149434.6563,1,1,175.45.176.3,149.171.126.16
UNSW-000204,0.001902,520,304,8,31,29,1640378.5,958990.5,0,0,59.166.0.1,149.171.126.1
UNSW-000205,0.00109,132,164,4,31,29,484403.6563,601834.8125,0,0,59.166.0.0,149.171.126.7
UNSW-000206,0.005018,568,304,8,31,29,679155.0625,363491.4375,0,0,59.166.0.1,149.171.126.1
UNSW-000207,0.001128,146,178,4,31,29,517730.5,631205.6875,0,0,59.166.0.2,149.171.126.2
UNSW-000208,0.001066,132,164,4,31,29,495309.5938,615384.625,0,0,59.166.0.0,149.171.126.4
UNSW-000209,0.001099,132,164,4,31,29,480436.7813,596906.3125,0,0,59.166.0.8,149.171.126.9
UNSW-000210,0.001265,130,162,4,31,29,411067.2188,512252.9688,0,0,59.166.0.8,149.171.126.2
UNSW-000211,0.001128,130,162,4,31,29,460992.9063,574468.125,0,0,59.166.0.0,149.171.126.2
UNSW-000212,0.00198,528,304,8,31,29,1600000.0,921212.125,0,0,59.166.0.1,149.171.126.2
UNSW-000213,0.00108,132,164,4,31,29,488888.9063,607407.4375,0,0,59.166.0.5,149.171.126.3
UNSW-000214,0.0053,568,312,8,31,29,643018.875,353207.5625,0,0,59.166.0.1,149.171.126.2
UNSW-000215,0.001098,130,162,4,31,29,473588.3438,590163.9375,0,0,59.166.0.7,149.171.126.4
UNSW-000216,0.001132,130,162,4,31,29,459363.9688,572438.1875,0,0,59.166.0.1,149.171.126.7
UNSW-000217,0.001107,146,178,4,31,29,527551.9375,643179.75,0,0,59.166.0.9,149.171.126.3
UNSW-000218,0.261421,840,1420,18,62,252,23135.09766,38038.26172,1,1,175.45.176.3,149.171.126.11
UNSW-000219,0.00114,146,178,4,31,29,512280.7188,624561.4375,0,0,59.166.0.0,149.171.126.1
UNSW-000220,0.001044,130,162,4,31,29,498084.2813,620689.625,0,0,59.166.0.1,149.171.126.4
UNSW-000221,0.0,1780,0,5,64,0,196.4095,0.0,0,0,192.168.241.243,192.168.241.243
UNSW-000222,0.0,1780,0,5,64,0,196.4095,0.0,0,0,192.168.241.243,192.168.241.243
UNSW-000223,0.00106,132,164,4,31,29,498113.1875,618867.875,0,0,59.166.0.6,149.171.126.0
UNSW-000224,0.00107,132,164,4,31,29,493457.9375,613084.125,0,0,59.166.0.9,149.171.126.8
UNSW-000225,0.001144,130,162,4,31,29,454545.4688,566433.5625,0,0,59.166.0.4,149.171.126.7
UNSW-000226,0.001257,130,162,4,31,29,413683.375,515513.125,0,0,59.166.0.8,149.171.126.0
UNSW-000227,0.001124,132,164,4,31,29,469750.9063,583629.9375,0,0,59.166.0.8,149.171.126.8
UNSW-000228,0.001075,146,178,4,31,29,543255.8125,662325.5625,0,0,59.166.0.8,149.171.126.3
UNSW-000229,0.001114,132,164,4,31,29,473967.6875,588868.9375,0,0,59.166.0.0,149.171.126.3
UNSW-000230,0.001088,146,178,4,31,29,536764.6875,654411.75,0,0,59.166.0.2,149.171.126.1
UNSW-000231,0.001053,132,164,4,31,29,501424.5,622981.9375,0,0,59.166.0.3,149.171.126.0
UNSW-000232,0.001173,132,164,4,31,29,450127.875,559249.8125,0,0,59.166.0.9,149.171.126.3
UNSW-000233,0.001054,132,164,4,31,29,500948.7813,622390.875,0,0,59.166.0.9,149.171.126.1
UNSW-000234,0.787029,3422,1834,40,62,252,33045.79688,17717.26172,1,1,175.45.176.1,149.171.126.19
UNSW-000235,0.001077,132,164,4,31,29,490250.6875,609099.3125,0,0,59.166.0.7,149.171.126.3
UNSW-000236,0.001133,130,162,4,31,29,458958.5,571932.9375,0,0,59.166.0.2,149.171.126.1
UNSW-000237,0.001089,132,164,4,31,29,484848.4688,602387.5,0,0,59.166.0.0,149.171.126.0
UNSW-000238,0.00108,132,164,4,31,29,488888.9063,607407.4375,0,0,59.166.0.8,149.171.126.5
UNSW-000239,0.001118,132,164,4,31,29,472271.9063,586762.0625,0,0,59.166.0.1,149.171.126.1
UNSW-000240,0.001053,132,164,4,31,29,501424.5,622981.9375,0,0,59.166.0.8,149.171.126.7
UNSW-000241,0.648669,2730,1212,34,254,252,31806.66797,14022.55957,1,1,175.45.176.0,149.171.126.19
UNSW-000242,1.9e-05,1388,0,2,254,0,292210528.0,0.0,2,1,175.45.176.3,149.171.126.10
UNSW-000243,0.001109,132,164,4,31,29,476104.625,591523.9375,0,0,59.166.0.7,149.171.126.6
UNSW-000244,0.001052,132,164,4,31,29,501901.1563,623574.1875,0,0,59.166.0.9,149.171.126.6
UNSW-000245,0.001124,132,164,4,31,29,469750.9063,583629.9375,0,0,59.166.0.4,149.171.126.2
UNSW-000246,1.2e-05,168,0,2,254,0,56000000.0,0.0,2,1,175.45.176.0,149.171.126.14
UNSW-000247,2.234799,1052,824,18,31,29,3296.940918,2656.16748,0,0,59.166.0.1,149.171.126.0
UNSW-000248,2.006714,1052,824,18,31,29,3671.674072,2958.06958,0,0,59.166.0.8,149.171.126.6
UNSW-000249,4.503565,1052,824,18,31,29,1636.037231,1318.067017,0,0,59.166.0.6,149.171.126.4
UNSW-000250,3.846685,1052,824,18,31,29,1915.415527,1543.146973,0,0,59.166.0.9,149.171.126.6
UNSW-000251,6.112835,1052,824,18,31,29,1205.332764,971.071533,0,0,59.166.0.0,149.171.126.8
UNSW-000252,8.212167,1052,824,18,31,29,897.205383,722.829956,0,0,59.166.0.3,149.171.126.7
UNSW-000253,0.037329,1540,1644,34,31,29,309464.5,332824.3438,0,0,59.166.0.1,149.171.126.5
